시도,시군구,읍면동,변전소,전력공급여유_2026,전력공급여유_2027,전력공급여유_2028,전력공급여유_2029,전력공급여유_2030,전력공급여유_2031,전력공급여유_2032,재생e_여유용량_MW,154kV_차단기_전체,154kV_차단기_사용중,154kV_차단기_사용예정,154kV_차단기_여유,345kV_차단기_전체,345kV_차단기_사용중,345kV_차단기_사용예정,345kV_차단기_여유
서울특별시,종로구,정릉동,미아,75,75,70,70,70,0,0,75,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,종로구,정릉동,미아,75,75,70,70,70,0,0,75,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,종로구,정릉동,미아,75,75,70,70,70,0,0,75,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,종로구,세종로,세종로,0,0,0,0,0,0,0,0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,종로구,구기동,옥인,0,0,0,0,0,0,0,0,8.0,6.0,-3.0,5.0,0.0,0.0,0.0,0.0
서울특별시,종로구,와룡동,운니,0,0,0,0,0,0,0,0,5.0,5.0,-1.0,1.0,0.0,0.0,0.0,0.0
서울특별시,종로구,동숭동,원남,0,0,0,0,0,0,0,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,종로구,훈정동,종로,80,65,65,5,10,0,0,80,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,종로구,훈정동,종로,80,65,65,5,10,0,0,80,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,종로구,숭인동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,종로구,숭인동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,종로구,숭인동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,종로구,숭인동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,종로구,숭인동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,종로구,숭인동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,종로구,창신동,흥인,80,65,65,5,10,0,0,80,4.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
서울특별시,중구,하왕십리동,마장,80,65,65,5,10,0,0,80,,,,,,,,
서울특별시,중구,하왕십리동,마장,80,65,65,5,10,0,0,80,,,,,,,,
서울특별시,중구,을지로6가,방산,80,60,65,5,10,0,0,80,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,중구,정동,서소문,0,0,0,0,0,0,0,0,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,중구,중림동,순화,0,0,0,0,0,0,0,0,7.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0
서울특별시,중구,신당동,신당,0,0,0,0,0,0,0,0,,,,,,,,
서울특별시,중구,을지로3가,종로,80,65,65,5,10,0,0,80,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,중구,을지로3가,종로,80,65,65,5,10,0,0,80,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,중구,만리동1가,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,중구,만리동1가,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,중구,만리동1가,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,중구,만리동1가,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,중구,만리동1가,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,중구,만리동1가,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,중구,예장동,중앙(SA),80,60,65,5,10,0,0,80,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,용산구,서빙고동,동빙고,0,0,0,0,0,0,0,0,8.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0
서울특별시,용산구,도화동,마포,0,0,0,0,0,0,0,0,7.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0
서울특별시,용산구,도화동,마포,0,0,0,0,0,0,0,0,7.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0
서울특별시,용산구,청파동2가,아현,0,0,0,0,0,0,0,0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
서울특별시,용산구,청파동2가,아현,0,0,0,0,0,0,0,0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
서울특별시,용산구,원효로1가,용산,0,0,0,0,0,0,0,0,7.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0
서울특별시,용산구,한남동,원효(건설중),0,0,0,0,0,0,545,0,,,,,,,,
서울특별시,용산구,한남동,전곡2S/S(건설중),0,0,0,0,0,0,545,0,,,,,,,,
서울특별시,용산구,갈월동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,용산구,갈월동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,용산구,갈월동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,용산구,갈월동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,용산구,갈월동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,용산구,갈월동,중부,0,0,0,0,0,0,400,0,18.0,10.0,-1.0,9.0,0.0,0.0,0.0,0.0
서울특별시,용산구,이태원동,한남,45,20,0,0,0,0,0,45,8.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0
서울특별시,용산구,이태원동,한남,45,20,0,0,0,0,0,45,8.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0
서울특별시,성동구,용답동,군자 23kV 이동용 GIS,0,0,0,0,0,0,0,0,,,,,,,,
서울특별시,성동구,송정동,뚝도,30,30,25,15,15,10,10,30,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,성동구,마장동,마장,80,65,65,5,10,0,0,80,,,,,,,,
서울특별시,성동구,마장동,마장,80,65,65,5,10,0,0,80,,,,,,,,
서울특별시,성동구,성수동1가,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성동구,성수동1가,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성동구,성수동1가,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성동구,성수동1가,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성동구,성수동1가,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성동구,성수동1가,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성동구,성수동1가,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성동구,성수동1가,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성동구,성수동1가,성수,125,110,90,70,70,70,65,125,6.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0
서울특별시,성동구,금호동1가,왕십리,80,65,65,5,10,0,0,80,8.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0
서울특별시,성동구,옥수동,한남,45,20,0,0,0,0,0,45,8.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0
서울특별시,성동구,옥수동,한남,45,20,0,0,0,0,0,45,8.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0
서울특별시,광진구,광장동,광장,0,0,0,0,0,0,0,0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,광진구,자양동,구의,0,0,0,0,0,0,0,0,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,광진구,자양동,동서울,0,0,0,0,0,0,0,0,13.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,광진구,자양동,동서울,0,0,0,0,0,0,0,0,13.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,광진구,자양동,동서울,0,0,0,0,0,0,0,0,13.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,광진구,자양동,동서울,0,0,0,0,0,0,0,0,13.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,광진구,자양동,동서울,0,0,0,0,0,0,0,0,13.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,광진구,자양동,동서울,0,0,0,0,0,0,0,0,13.0,9.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,광진구,중곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,광진구,중곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,광진구,중곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,광진구,중곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,광진구,중곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,광진구,중곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,광진구,중곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,광진구,중곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,광진구,중곡동,화양,0,0,0,0,0,0,0,0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,동대문구,답십리동,용두,80,65,65,5,10,0,0,80,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,동대문구,청량리동,종암,80,65,65,5,10,0,0,80,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,동대문구,청량리동,종암,80,65,65,5,10,0,0,80,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,동대문구,이문동,휘경,80,65,65,5,10,0,0,80,8.0,6.0,0.0,2.0,0.0,0.0,0.0,0.0
서울특별시,중랑구,면목동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,중랑구,면목동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,중랑구,면목동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,중랑구,면목동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,중랑구,면목동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,중랑구,면목동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,중랑구,면목동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,중랑구,면목동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,중랑구,망우동,상봉,205,170,290,255,260,260,245,205,8.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,중랑구,망우동,신내,210,170,255,225,230,230,215,210,8.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0
서울특별시,성북구,돈암동,돈암,135,145,100,90,95,0,0,135,8.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0
서울특별시,성북구,상월곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성북구,상월곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성북구,상월곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성북구,상월곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성북구,상월곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성북구,상월곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성북구,상월곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성북구,상월곡동,미금,0,0,210,210,240,240,240,0,,,,,,,,
서울특별시,성북구,길음동,미아,75,75,70,70,70,0,0,75,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,성북구,길음동,미아,75,75,70,70,70,0,0,75,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,성북구,길음동,미아,75,75,70,70,70,0,0,75,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
서울특별시,성북구,안암동5가,안암,0,0,0,0,0,0,0,0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
서울특별시,성북구,보문동7가,장위,0,80,35,30,30,0,0,0,,,,,,,,
서울특별시,성북구,종암동,종암,80,65,65,5,10,0,0,80,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,성북구,종암동,종암,80,65,65,5,10,0,0,80,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,강북구,번동,노원,85,80,35,30,30,0,0,85,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,강북구,번동,노원,85,80,35,30,30,0,0,85,6.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0
서울특별시,강북구,미아동,미아,75,75,70,70,70,0,0,75,8.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0
