시도,시군구,변전소,재생e_여유용량_MW
서울특별시,종로구,미아,75
서울특별시,종로구,세종로,0
서울특별시,종로구,옥인,0
서울특별시,종로구,운니,0
서울특별시,종로구,원남,0
서울특별시,종로구,종로,80
서울특별시,종로구,중부,0
서울특별시,종로구,흥인,80
서울특별시,중구,마장,80
서울특별시,중구,방산,80
서울특별시,중구,서소문,0
서울특별시,중구,순화,0
서울특별시,중구,신당,0
서울특별시,중구,종로,80
서울특별시,중구,중부,0
서울특별시,중구,중앙(SA),80
서울특별시,용산구,동빙고,0
서울특별시,용산구,마포,0
서울특별시,용산구,아현,0
서울특별시,용산구,용산,0
서울특별시,용산구,원효(건설중),0
서울특별시,용산구,전곡2S/S(건설중),0
서울특별시,용산구,중부,0
서울특별시,용산구,한남,45
서울특별시,성동구,군자 23kV 이동용 GIS,0
서울특별시,성동구,뚝도,30
서울특별시,성동구,마장,80
서울특별시,성동구,미금,0
서울특별시,성동구,성수,125
서울특별시,성동구,왕십리,80
서울특별시,성동구,한남,45
서울특별시,광진구,광장,0
서울특별시,광진구,구의,0
서울특별시,광진구,동서울,0
서울특별시,광진구,미금,0
서울특별시,광진구,화양,0
서울특별시,동대문구,용두,80
서울특별시,동대문구,종암,80
서울특별시,동대문구,휘경,80
서울특별시,중랑구,미금,0
서울특별시,중랑구,상봉,205
서울특별시,중랑구,신내,210
서울특별시,성북구,돈암,135
서울특별시,성북구,미금,0
서울특별시,성북구,미아,75
서울특별시,성북구,안암,0
서울특별시,성북구,장위,0
서울특별시,성북구,종암,80
서울특별시,강북구,노원,85
서울특별시,강북구,미아,75
서울특별시,강북구,수유,185
서울특별시,도봉구,방학,455
서울특별시,도봉구,쌍문,185
서울특별시,도봉구,창동,415
서울특별시,노원구,노원,85
서울특별시,노원구,미금,0
서울특별시,노원구,상계,260
서울특별시,노원구,중계,140
서울특별시,은평구,녹번,0
서울특별시,은평구,수색,0
서울특별시,은평구,중부,0
서울특별시,은평구,증산SA,0
서울특별시,서대문구,서대문,0
서울특별시,서대문구,수색,0
서울특별시,서대문구,신촌,0
서울특별시,서대문구,연대,0
서울특별시,서대문구,중부,0
서울특별시,서대문구,현저,0
서울특별시,마포구,가양,0
서울특별시,마포구,당인리,0
서울특별시,마포구,등촌,0
서울특별시,마포구,마곡,0
서울특별시,마포구,마포,0
서울특별시,마포구,상암,0
서울특별시,마포구,신촌,0
서울특별시,마포구,아현,0
서울특별시,마포구,연대,0
서울특별시,마포구,중부,0
서울특별시,마포구,화곡,0
서울특별시,양천구,목동,0
서울특별시,양천구,북과천(건설중),0
서울특별시,양천구,신정,0
서울특별시,양천구,양천,0
서울특별시,서울특별시강서구,가양,0
서울특별시,서울특별시강서구,마곡,0
서울특별시,강서구,신부평,0
서울특별시,서울특별시강서구,화곡,0
서울특별시,구로구,구로,0
서울특별시,구로구,구로#2(건설중),0
서울특별시,구로구,신광명,0
서울특별시,구로구,오류,0
서울특별시,구로구,온수,0
서울특별시,구로구,천왕,0
서울특별시,금천구,가산,0
서울특별시,금천구,구공,0
서울특별시,금천구,대방,0
서울특별시,금천구,독산,0
