시도,시군구,변전소,변전소코드,345kV_차단기_전체,345kV_차단기_사용중,345kV_차단기_사용예정,345kV_차단기_여유
강원특별자치도,강릉시,북강릉,D338,0,0,0,0
강원특별자치도,강릉시,북평,4363,0,0,0,0
강원특별자치도,강릉시,영동T/P,S408,0,0,0,0
강원특별자치도,강릉시,주문진,S423,0,0,0,0
강원특별자치도,강릉시,횡계,2821,0,0,0,0
강원특별자치도,고성군,속초,2447,0,0,0,0
강원특별자치도,고성군,신양양,D440,0,0,0,0
강원특별자치도,동해시,북평,4363,0,0,0,0
강원특별자치도,삼척시,도계,S440,0,0,0,0
강원특별자치도,삼척시,삼척,S418,0,0,0,0
강원특별자치도,삼척시,태백,2510,0,0,0,0
강원특별자치도,속초시,속초,2447,0,0,0,0
강원특별자치도,속초시,신양양,D440,0,0,0,0
강원특별자치도,양구군,신양양,D440,0,0,0,0
강원특별자치도,양구군,양구,S428,0,0,0,0
강원특별자치도,양양군,신양양,D440,0,0,0,0
강원특별자치도,양양군,양양,S401,0,0,0,0
강원특별자치도,영월군,동영월,S442,0,0,0,0
강원특별자치도,영월군,신제천,2507,0,0,0,0
강원특별자치도,영월군,영월,S410,0,0,0,0
강원특별자치도,원주시,남원주,2820,0,0,0,0
강원특별자치도,원주시,동원주,D345,0,0,0,0
강원특별자치도,원주시,문막,2667,0,0,0,0
강원특별자치도,원주시,북원주,S435,0,0,0,0
강원특별자치도,원주시,서원주,D464,0,0,0,0
강원특별자치도,원주시,신제천,2507,0,0,0,0
강원특별자치도,인제군,신양양,D440,0,0,0,0
강원특별자치도,인제군,인제,S421,0,0,0,0
강원특별자치도,정선군,고한,S432,0,0,0,0
강원특별자치도,정선군,동영월,S442,0,0,0,0
강원특별자치도,정선군,신제천,2507,0,0,0,0
강원특별자치도,정선군,정선,S424,0,0,0,0
강원특별자치도,철원군,신양양,D440,0,0,0,0
강원특별자치도,철원군,철원,2525,0,0,0,0
강원특별자치도,춘천시,남춘천,2784,0,0,0,0
강원특별자치도,춘천시,북춘천,S436,0,0,0,0
강원특별자치도,춘천시,서홍천,D337,0,0,0,0
강원특별자치도,춘천시,신양양,D440,0,0,0,0
강원특별자치도,춘천시,춘천,4299,0,0,0,0
강원특별자치도,태백시,태백,2510,0,0,0,0
강원특별자치도,평창군,영월,S410,0,0,0,0
강원특별자치도,평창군,정선,S424,0,0,0,0
강원특별자치도,평창군,주진,S434,0,0,0,0
강원특별자치도,평창군,평창,2553,0,0,0,0
강원특별자치도,평창군,횡계,2821,0,0,0,0
강원특별자치도,홍천군,상남,2554,0,0,0,0
강원특별자치도,홍천군,서홍천,D337,0,0,0,0
